Gene_family	PANTHER/CDD	ID	Description
Fox	CDD	gnl|CDD|410833	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_N3_(FOXN3)
Fox	CDD	gnl|CDD|410834	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_O1_(FOXO1)
Fox	CDD	gnl|CDD|410835	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_O3_(FOXO3)
Fox	CDD	gnl|CDD|410836	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_O4_(FOXO4)_and_similar_proteins
Fox	CDD	gnl|CDD|410837	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_O6_(FOXO6)_and_similar_proteins
Fox	CDD	gnl|CDD|410838	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_P1_(FOXP1)
Fox	CDD	gnl|CDD|410839	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_P2_(FOXP2)
Fox	CDD	gnl|CDD|410840	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_P3_(FOXP3)_and_similar_proteins
Fox	CDD	gnl|CDD|410841	Forkhead_(FH)_domain_found_in_Forkhead_box_protein_P4_(FOXP4)_and_similar_proteins
Fox	PANTHER	PTHR11829	FORKHEAD_BOX_PROTEIN
Fox	PANTHER	PTHR11829:SF142	FOXQ2_PROTEIN
Fox	PANTHER	PTHR11829:SF156	FORKHEAD_BOX_PROTEIN_E3
Fox	PANTHER	PTHR11829:SF206	FORKHEAD_BOX_PROTEIN_Q1
Fox	PANTHER	PTHR11829:SF209	FORKHEAD_BOX_PROTEIN_B1
Fox	PANTHER	PTHR11829:SF335	FORKHEAD_BOX_PROTEIN_D2
Fox	PANTHER	PTHR11829:SF340	FORKHEAD_BOX_PROTEIN_H1
Fox	PANTHER	PTHR11829:SF342	FORKHEAD_BOX_PROTEIN_L2
Fox	PANTHER	PTHR11829:SF348	FORKHEAD_BOX_PROTEIN_D1
Fox	PANTHER	PTHR11829:SF361	FORKHEAD_BOX_PROTEIN_D3
Fox	PANTHER	PTHR11829:SF398	FORKHEAD_BOX_PROTEIN_PES-1
Fox	PANTHER	PTHR11829:SF399	FORKHEAD_TRANSCRIPTION_FACTOR_FKH-9
Fox	PANTHER	PTHR11829:SF401	FORKHEAD_BOX_C1-A-RELATED
Fox	PANTHER	PTHR13962	FORKHEAD_BOX_PROTEIN_N3-LIKE_PROTEIN-RELATED
Fox	PANTHER	PTHR13962:SF17	FORKHEAD_BOX_PROTEIN_N4
Fox	PANTHER	PTHR13962:SF19	FORKHEAD_BOX_PROTEIN_N2
Fox	PANTHER	PTHR13962:SF20	FORKHEAD_BOX_PROTEIN_N3
Fox	PANTHER	PTHR13962:SF22	FORKHEAD_BOX_PROTEIN_N3-LIKE_PROTEIN
Fox	PANTHER	PTHR13962:SF26	FORKHEAD_BOX_PROTEIN_N2
Fox	PANTHER	PTHR45767	FORKHEAD_BOX_PROTEIN_O
Fox	PANTHER	PTHR45767:SF2	FORKHEAD_BOX_PROTEIN_O
Fox	PANTHER	PTHR45796	FORKHEAD_BOX_P,_ISOFORM_C
Fox	PANTHER	PTHR45796:SF3	FORKHEAD_BOX_PROTEIN_P1
Fox	PANTHER	PTHR45796:SF4	FORKHEAD_BOX_P,_ISOFORM_C
Fox	PANTHER	PTHR45881:SF3	FORKHEAD_BOX_PROTEIN_K2
Fox	PANTHER	PTHR45881:SF4	FORKHEAD_BOX_PROTEIN_K1
Fox	PANTHER	PTHR46078	FORKHEAD_BOX_PROTEIN_J2_FAMILY_MEMBER
Fox	PANTHER	PTHR46262	FORKHEAD_BOX_PROTEIN_BINIOU
Fox	PANTHER	PTHR46262:SF2	FORKHEAD_BOX_PROTEIN_BINIOU
Fox	PANTHER	PTHR46617	FORKHEAD_BOX_PROTEIN_G1
Fox	PANTHER	PTHR46617:SF3	FORKHEAD_BOX_PROTEIN_G1
Fox	PANTHER	PTHR46721	FORKHEAD_BOX_PROTEIN_N1
Fox	PANTHER	PTHR46721:SF2	FORKHEAD_BOX_N1
Fox	PANTHER	PTHR46805	FORKHEAD_BOX_PROTEIN_J1
Fox	PANTHER	PTHR46878	FORKHEAD_BOX_PROTEIN_M1
Fox	PANTHER	PTHR46878:SF1	FORKHEAD_BOX_PROTEIN_M1
Fox	PANTHER	PTHR47316	FORKHEAD_BOX_PROTEIN_H1
Fox	PANTHER	PTHR47316:SF1	FORKHEAD_BOX_PROTEIN_H1
